id	en	en_US	ja	es	ru	de	it	se	pt_BR	es_US	pl	zh	tr	fr
ske_king1_so	All right! Finally found it!		ようやく見つけだぜ	¡Bien! ¡Al fin lo encontré!	Наконец-то нашёл!	OK! Endlich gefunden!	Bene! Finalmente trovata!	Okej! Äntligen hittade det!	Beleza! Finalmente achei!	¡Por fin lo encontramos!	Tak jest! W końcu znalazłem!	很好！終於找到了！	Tamamdır! Sonunda buldum!	Parfait ! Enfin trouvé !
ske_king2_so	I'd almost rather it were\ndeserted at this point.		なにもこんな奥にいなくてもなぁ～	Casi que preferiría que este sitio\nestuviese desierto.	Здесь ничего и никого нет...	Langsam wäre es mir fast lieber,\nwenn der Laden hier leer wäre ...	A questo punto, quasi preferirei\nche fosse abbandonato.	Jag skulle nästan hellre vilja att den\nvore öde vid det här laget.	Acho que seria melhor se não\ntivesse ninguém aqui.	No era necesario arrinconarse tanto...	Już bym wolał,\ngdyby było opuszczone.	走到這個地步，\n我差點寧願這裡被廢棄了。	Bu noktada neredeyse terk edilmiş\nolmasını tercih ederdim.	Je préférerais presque\nque ce soit désert.
ske_king1_sh	Quickly! We must find the king!		早く王様に会わなくちゃ！	¡Rápido! ¡Debemos encontrar al rey!	Надо поскорее встретиться с царём!	Schnell! Wir müssen den König finden!	Veloce! Dobbiamo trovare il Re!	Snabbt! Vi måste hitta kungen!	Rápido! Precisamos achar o rei!	¡Tenemos que encontrar el rey rápido!	Szybko! Musimy znależć króla!	快點！我們必須找到國王！	Çabuk! Kralı bulmalıyız!	Vite ! Nous devons trouver le roi !
ske_king2_sh	King Solomon should be in here.		きっとここにソロモン王がいるのよ!	El rey Salomón debería estar aquí.	Царь Соломон наверняка тут!	König Solomon muss hier drinnen sein.	Re Salomone dovrebbe essere qui.	Kungen Solomon borde vara här inne.	O Rei Salomão deve estar aqui dentro.	¡Sin duda, el rey Salomón está aquí!	Król Solomon powinien tu być.	所羅門王應該就在這裡了。	Kral Solomon'un burada olması gerekirdi.	Le Roi Salomon devrait être ici.
														
ske_rampage_so	All right! Time to rumble!		マジン退治ねぇ～　おもしろい！	¡Venga! ¡Hora de pelear!	Надо побороть злых духов.\nА это интересно!	Also gut, Let's Fetz!	Bene! È il momento di fare casino!	Okej! Dags att rumbla!	Beleza! Hora de mandar ver!	Exterminar majin... ¡Suena divertido!	Dobra! Czas na pojedynek!	好！是時候教訓這些傢伙了。	Tamamdır! Gürültü zamanı!	Bien !\nC'est l'heure de la bagarre !
ske_rampage_sh	Don't get too careless!		あんまり　無理はしないてね！	¡No seas temerario!	Не слишком перетруждайся!	Nicht so übermütig!	Non essere troppo incosciente!	Bli inte för slarvig!	Não seja afobado!	¡No te exijas demasiado!	Nie badż zbyt beztroski!	別太逞強了！	Çok fazla dikkatsiz olmayın!	Reste prudent !
ske_switch_so	I hope we don't get\nthe next one wrong.		間違わないようにしないとな！	Espero que acertemos\ncon el siguiente.	Главное - не ошибиться.	Die Dinger scheinen 'ne Reihenfolge zu haben.	Spero di non\nsbagliare la prossima.	Jag hoppas att vi inte\n gör fel nästa gång.	Espero que a gente\nnão erre o proximo.	¡Tengamos cuidado de no equivocarnos!	Mam nadzieje,\nże następnego nie zgadniemy żle.	希望我們不會選錯下個開關。	Umarım bir sonrakinde\nyanılmayız.	J'espère que\nle prochain sera le bon.
ske_switch_sh	That was it! Now for the next one!		正解みたいね！\n次いってみよー！	¡Bien hecho!\n¡A por el siguiente!	Правильно сделал! Давай дальше!	Das war's! Weiter mit dem Nächsten!	È fatta! Adesso la prossima!	Det var allt! Nu till nästa!	Isso! Agora vamos ao próximo!	¡Era el correcto! ¡Vayamos al siguiente!	To było to! Teraz do następnego!	看來是正確的！再來找下一個吧！	İşte bu kadar! Şimdi sıradaki!	C'est bon, passons au suivant !
ske_switch2_so	Okay, next switch!		ＯＫＡＹ！ＮＥＸＴ　ＳＷＩＴＣＨ！	¡Bien, siguiente interruptor!	Хорошо! Следующий переключатель!	OK! Nächster Schalter!	Ok, prossima leva!	Okej, nästa strömbrytare!	Ok, próximo interruptor!	¡Okey! ¡Siguiente interruptor!	Okej, kolejny przycisk!	好！下個開關！	Tamam, sıradaki değişim!	Parfait, au prochain !
ske_switch2_sh	Next!		次　次～	¡El siguiente!	Дальше-дальше!	Und zum nächsten!	La prossima!	Nästa!	Próximo!	Al siguiente...	Następny!	下個！	Sıradaki!	Au suivant !
ske_switch_fail_so	Darn it! That was the wrong one!		くそ　ミスちまった	¡Porras! ¡Ese no era el correcto!	Чёрт! Я ошибся!	Mist! Das war der falsche Schalter!	Cavolo! Era quella sbagliata!	Attans också! Det där var fel!	Droga! Escolhi o errado!	Mierda, nos equivocamos.	Szlag! To nie był ten!	可惡！選錯了！	Kahretsin! Yanlış olanıydı!	Mince ! C'était le mauvais !
ske_switch_fail_sh	Seems like that was the wrong one.		まちがったみたいだね	Parece que ese no era.el correcto.	Похоже, ты ошибся...	Scheint so, als wäre das der falsche gewesen.	A quanto pare era quella sbagliata.	Verkar som att det var fel.	Pelo visto, aquele era o errado.	Creo que nos equivocamos.	Wygląda na to, że to nie był ten przycisk.	看樣子選錯了。	Sanırım yanlış olanı buydu.	On dirait que ce n'était pas le bon.
ske_revive_so	Are the dead coming back to life?		死者の復活ってすか	¿Los muertos están reviviendo?	Воскрешение мёртвых?	Die steh'n ja wieder auf!	I morti stanno tornando in vita?	Kommer dem döda tillbaka till livet?	Os mortos estão voltando à vida?	¿Los muertos resucitan?	Czy martwi wracają do życia?	這些死者在復活嗎？	Ölüler yeniden mi diriliyor?	Les morts reviennent à la vie ?
ske_revive_sh	Oh, this is awful.		悪趣味ねぇ	Oh, que mal.	Это ужасно...	Oh, das ist grauenvoll.	Oh, questo è orribile.	Oh, det här är förfärligt.	Ah, isso é terrível.	Qué desagradable.	Oh, to okropne.	好惡劣喔。	Oh, bu çok kötü.	Oh, c'est terrible.
ske_lots_so	Guess we have to get rid of them all!		全部けちらせんばいいんだろう	¡Supongo que toca desacerse\nde todos ellos!	Можно же их всех распинать?	Schätze mal, dass wir sie alle loswerden müssen!	Sembra che dobbiamo sbarazzarci di tutti loro!	Antar att vi måste bli av med dem allihop!	Acho que vamos ter que acabar com todos eles!	Creo que tenemos que deshacernos de todos.	W takim razie trzeba się ich wszystkich pozbyć!	看樣子只能把它們一一打倒了！	Sanırım hepsinden kurtulmamız gerekecek!	On doit se débarasser d'eux !
ske_lots_sh	There's a ton of them!		いっぱい出てきたね…	¡Son muchos!	Как же их много!	Eine ganze Schar!	Ce ne sono un sacco!	Det finns massor av dem!	Há um montão deles!	Pero son muchísimos...	Jest ich masa!	出現了好多人！	Bir sürü var!	Il en y a un tonne !
ske_more_so	Whew! There's just more and more.		ひゅ～　次から次へとよくもまあ	¡Guau! Hay más y más.	Один за другим, да как они смеют...	Es werden immer mehr!	Whew! Ce ne sono ancora e ancora.	Whew! Det blir bara mer och mer.	Ufa! Só aparecem mais e mais.	¡Ah! ¿Uno tras otro? ¡Qué descaro!	Fiu! Jest ich coraz więcej i więcej.	呼！一個接著一個欸！	Whew! Daha da fazlası var.	Fiou ! Ça n'en finit pas.
ske_more_sh	They don't seem to be\nsuch big fans of us though.		私のファンてわけじゃなさそうね	No parecen tenernos en\nmucha estima.	Они не похожи на моих фанатов.	Sie scheinen etwas wichtiges zu bewachen.	Non sembrano essere\ngrandi ammiratori di noi però.	De verkar dock inte vara\nså stora fans av oss.	Parece que eles não gostam muito da gente.	No creo que sean nuestros admiradores...	Nie wyglądają mi na\nnaszych największych fanów.	他們看起來不太喜歡我們。	Ama bizim o kadar da büyük\nhayranlarımız gibi görünmüyorlar.	Ils n'ont pas l'air\nde nous apprécier.
ske_dome_so	So this is why they\ncall it the Skeleton Dome.		なるほど\nだからスケレトンドームか…	Así que por eso lo llaman\nel Domo Esquelético.	Теперь понятно, почему это место\nназывают Скелетным сводом!	Der Skeleton Dome macht seinem Namen alle Ehre.	Ecco perchè la chiamano\nla Cupola Scheletrica.	Så det är därför de\nkallar det Skelettkupolen.	Então é por isso que chamam\nde Skeleton Dome.	Ah, por eso se llama el Domo Esquelético...	To dlatego nazywają\nto Kopułą Szkieletów.	原來如此阿，\n這就是骷髏巨蛋命名的源由嗎？	İşte bu yüzden ona\nİskelet Kubbesi diyorlar.	C'est pour ça qu'ils l'appelent le Dôme Squelette.
ske_dome_sh	Wow, this place is huge!		大きいねぇ…	¡Hala, este sitio es gigantesco!	Ого! Какое большое пространство...	Wow, ist das riesig!	Wow! Questo posto è gigantesco.	Wow, det här stället är enormt!	Uau, esse lugar é enorme!	Esto es enorme, ¿no?	Łał, to miejsce jest ogromne!	哇，這裡好大喔！	Wow, burası çok büyük!	Wow, cet endroit est énorme !
														
ske_body_so	So, we've got to find his body, huh?		体を探せって言われてもな	Así que tenemos que encontrar\nsu cuerpo, ¿eh?	Найти тело не так уж и легко...	Wir müssen also den Rest seines Körpers finden, richtig?	Qundi, dobbiamo trovare il suo corpo eh?	Så, vi måste hitta hans kropp, huh?	Então, precisamos achar o corpo dele, né?	Nos dijo que encontremos sus restos.	Więc, mamy znależć jego ciało, co?	所以我們得去找他的身體嗎？	Yani cesedini bulmamız lazım, öyle mi?	Alors, on doit trouver son corps ?
ske_body_sh	I wonder where it is.		どこにあるにだろうねぇ…	Me pregunto dónde estará...	Где оно может быть?	Ich frage mich, wo er sein könnte.	Mi domando dove sia.	Jag undrar var den är.	Onde será que ele está?	Me pregunto dónde estarán...	Ciekawe gdzie ono jest.	到底會藏在哪裡呢？	Acaba nerededir?	Je me demande où il est.
ske_search_so	Well, the pieces have got to be somewhere.		そのうち見つかれさ	Bueno, en algún sitio tienen\nque estar sus huesos.	Ну, думаю, что скоро найдётся...	Naja, die Teile sollten hier irgendwo sein.	Beh, i pezzi devono pur essere da qualche parte.	Nå, bitarna måste ju finnas någonstans.	Bom, os pedaços precisam estar em algum lugar.	Ah, ya los encontraremos.	Cóż, jego części muszą gdzieś tu być.	他的一部分肯定就在某處。	Eh, parçaların bir yerlerde olması lazım.	Eh bien, les morceaux doivent être quelque part.
ske_search_sh	Where should we search first?		どこ探せばいいんだろう	¿Dónde deberíamos buscar primero?	Где лучше поискать?	Wo sollten wir zuerst anfangen zu suchen?	Dove dovremmo iniziare?	Vart borde vi leta först?	Onde vamos procurar primeiro?	¿En dónde buscamos?	Gdzie powinniśmy najpierw szukać?	那我們要先去哪裡找呢？	İlk önce nerede arama yapmalıyız?	Par où commencer ?
ske_hand_sh	Sonic, follow that thing!		ソニック　あれ追いかけて！	¡Sonic, sigue a esa cosa!	Соник! Догони его!	Sonic, folge diesem Ding!	Sonic, insegui quella cosa!	Sonic, följ den där ringen!	Sonic, siga aquela coisa!	¡Sonic, persigue esa cosa!	Sonic, podążaj za tym czymś!	索尼克，快追上那個東西！	Sonic, o şeyi takip et!	Sonic, suis cette chose !
														
														
night_palace	Night Palace		ナイト　パレス	Palacio Nocturno	Ночной дворец	Night Palace	Palazzo Notturno	Natt Palatset	Night Palace	Palacio Nocturno	Nocny Pałac	暗夜宮殿	Gece Sarayı	Night Palace
night_palace_description	Drifting across a dark, starry sky.		暗夜にうかぶ宮殿。	Déjate llevar por un cielo oscuro y estrellado.	Дворец, виднеющийся в тёмной ночи.	Am dunklen Sternenhimmel.	Alla deriva in un cielo oscuro, pieno di stelle.	Svävande över en mörk, stjärnbeströdd himmel.	Vagando por um céu escuro e estrelado.	Un palacio a la deriva de la oscuridad de la noche.	Dryfujący po ciemnym, rozgwieżdżonym niebie.	漂浮在黑夜中的宮殿。	Karanlık, yıldızlı bir gökyüzünde sürüklenmek.	Un palais voguant dans un ciel sombre et étoilé.
nig_opening_sh	So, this is where Erazor is...		ここにイレイザーが…	Así que aquí es donde reside Erazor...	Эрейзор здесь...	Das ist also, wo Erazor...	Quindi, è qua dove vive Erazor...	Så, det är här Erazor är...	Então é aqui que o Erazor está...	Aquí se encuentra Erazor...	Więc to tutaj się ukrywa Erazor...	這就是伊萊薩的所在之處…	Demek Erazor'un yer burası...	C'est donc ici qu'Erazor se cache...
nig_opening_so	Don't worry. We'll get him in no time!		あぁ…　すぐとっ捕まえてやるぜ！	¡Da por seguro que lo alcanzaremos en nada!	Ага... я его мигом схвачу!	Keine Sorge. Dem mach ich Beine!	Non preoccuparti. Lo prenderemo in tempo!	Oroa dig inte. Vi får tag på honom på nolltid!	Relaxa, já já a gente alcança ele!	¡Ah, lo atraparemos rapidito!	Nie martw się. Znajdziemy go w mgnieniu oka!	別擔心。我們很快就會逮到他了！	Endişelenme. Onu hemen yakalayacağız!	Ne t'inquiète pas.\nOn va le trouver rapidement !
nig_footing_so	This is about to come crumbling down!		崩れる寸前かよ！	¡El suelo se está desprendiendo!	Вот-вот развалится!	Das wird gleich zusammenbrechen!	Il suolo sta iniziando a cadere!	Det här håller på att falla samman!	Isso está prestes a desmoronar!	¡Esto está por desmoronarse!	To się zaraz zawali!	這裡要崩塌了！	Bu yıkılmak üzere!	Ça s'effondre !
nig_footing_sh	Hurry!		急いで！	¡Date prisa!	Поторопись!	Beeile dich!	Sbrigati!	Skynda!	Rápido!	¡Deprisa!	Szybko!	快啊！	Acele et!	Vite !
nig_footing2_sh	Hurry! Before it breaks!		急がないと崩れちゃうよ！	¡Rápido!; ¡antes de que se caiga!	Если не поторопишься, всё обвалится!	Beeile dich! Bevor es zusammenbricht!	Muoviti! Prima che si rompi!	Skynda! Innan den går sönder!	Rápido! Antes que desabe!	¡Rápido, antes de que se quiebre!	Szybko! Zanim się zawali!	快啊！在它崩壞前！	Acele et! Yıkılmadan önce!	Vite ! Avant que ça ne casse !
nig_footing2_so	I know, I know!		わーってるって！	¡Lo sé, lo sé!	Да знаю я!	Ich weiß, ich weiß!	Lo so, lo so!	Jag vet, jag vet!	Eu sei, eu sei!	¡Ya lo sé!	No wiem, wiem!	我知道啦！	Biliyorum, biliyorum!	Je sais, je sais !
nig_trap_sh	It's a trap! What do we do?		罠よ！　どうしよう…	¡Es una trampa!\n¿Ahora qué hacemos?	Это ловушка! Что же делать...	Es ist eine Falle! Was nun?	È una trappola! Cosa facciamo?	Det är en fälla! Vad ska vi göra?	É uma armadilha! O que faremos?	¡Es una trampa! ¿Qué hacemos?	To pułapka! Co robimy?	是陷阱！我們該怎麼辦？	Bu bir tuzak! Ne yapacağız?	C'est un piège ! Qu'allons-nous faire ?
nig_trap_so	We just have to face it!		かまうもんか！	No pasa nada.\n¡Lo tengo controlado!	Нечего беспокоиться!	Na reintappen! Was sonst?	Dobbiamo solo affrontarlo!	Vi måste bara möta det!	Vamos ter que encarar!	¡Salir de ella!	Trzeba jakoś Sobie z tym poradzić!	不面對它不行了！	Onunla yüzleşmeliyiz!	Il faut juste y faire face !
nig_enemy_so	Well, guess it's time to rumble!		敵さんもいよいよってわけだ！	Entonces, ¡hora de pelear!	Скоро доберусь до врага!	Heh! Jetzt gibt's Backenfutter, Jungs!	Beh, è il momento di scatenarsi!	Nåja, då är det väl dags att rumbla!	Bom, acho que é hora de mandar ver!	¡El enemigo está listo para atacar!	Cóż, chyba pora rozkręcić imprezę!	看樣子要來場混鬥囉！	Hadi, artık harekete geçme zamanı!	C'est l'heure d'une petite bagarre !
nig_enemy_sh	Now of all times is when\nwe should stay on guard.		向こうも必死みたいわ！	Ahora más que nunca hemos\nde mantenernos en guardia.	Он уже на пределе!	Gerade jetzt sollten wir auf der Hut bleiben.	Tra tutti i momenti è questo\nil quale dove dobbiamo stare in guardia.	Det är nu av alla tider som\nvi borde vara på vår vakt.	Agora mais do que nunca, devemos ficar atentos.	¡Parecen desesperados!	Teraz, bardziej niż kiedykolwiek,\npowinniśmy być czujni.	現在是我們最該保持警戒的時候。	Şu an, her şeyden önce tetikte\nolmamız gereken zamandır.	C'est bien maintenant\nque tu dois être sur tes gardes.
nig_carpet_sh	I guess next up,\nwe go for a walk on the air.		次は空の散歩？	Y ahora, ¿un paseo por el cielo?	А теперь прогулка по небу!	Als nächstes spazieren wir mal ein wenig im Himmel.	È ora\n facciamo una passeggiata a mezz'aria.	Jag antar att härnäst,\ntar vi en prommenad i luften.	E agora,\niremos dar um passeio pelo céu.	Y ahora, un paseo por el cielo.	Wygląda mi to na spacer po powietrzu.	看來接下來是空中散步。	Sanırım sırada havada,\nyürüyüşe çıkmak var.	Je crois que nous allons maintenant\nfaire une balade dans le ciel.
nig_carpet_so	This just keeps getting\nbetter and better.		なかなか　いきな事をするじゃないか！	Lo hago con mucho estilo, ¿eh?	А становится всё лучше и лучше!	Das wird ja immer besser!	La situazione non fa\n che migliorare.	Det här blir bara bättre\noch bättre.	Isso tá ficando cada vez melhor.	¡A eso se le llama estilo!	Robi się to coraz lepsze!	事情越來越精彩了。	Bu durum gittikçe\ndaha da iyiye gidiyor.	Ça ne cesse de\ns'améliorer.
nig_carpet2_so	Hey, check out the view!		絶景だねぇ！	¡Eh, mira qué vistas!	Какой красивый вид!	Hey, nette Aussicht!	Hey, guarda che panorama!	Hej, kolla in utsikten!	Ei, saca só essa vista!	¡Pero qué vista!	Hej, obczaj ten widok!	這真是絶景阿！	Hey, manzaraya bak!	Hé, regarde cette vue !
nig_carpet2_sh	Sonic, we don't have time\nfor sightseeing!		ゆっくりしてる暇はないわよ！	¡No es momento para relajarse, Sonic!	Нет времени смотреть по сторонам!	Sonic, wir haben keine Zeit Sterne zu beobachten!	Sonic, non abbiamo tempo\n per fare i turisti!	Sonic, vi har inte tid\nför en rundtur!	Sonic, não temos tempo para \nadmirar a paisagem!	¡No podemos relajarnos ahora!	Sonic, nie mamy czasu na\npodziwianie widoczków!	索尼克，我們沒時間看風景了啦！	Sonic, gezip görmeye\nvaktimiz yok!	Sonic, on n'a pas le temps\nde regarder les paysages !
nig_entrance_so	He must be through here.		この先にいるんだな？	Debe de estar por aquí.	Он должен быть здесь, да?	Er muss hier lang gekommen sein.	Dev'essere verso di qua.	Han måste vara här förbi.	Ele deve estar por aqui.	¿Está más adelante?	Musi być tutaj.	他一定在這前面。	Buradan çıkmış olmalı.	Il doit être par ici.
nig_entrance_sh	Indeed...		きっと…	Efectivamente...	Наверное...	Genau...	Certo...	Verkligen...	Sim...	Sin duda...	Racja...	一定……	Kesinlikle...	C'est vrai.
nig_stretch_event_so	Woah, what the...?		な　なんだ？	¿C-cómo?	Ого... что?	Whoa, was zur...?	Woah, ma che..?	Woah, vad i...?	Uou, mas o quê...?	¡¿Q-Qué...?!	Łał, co do...?	哇喔，怎麼了……？	Woah, buda ne...?	Ouah, c'est quoi ce... ?
nig_stretch_event_sh	The room...stretched!		部屋がのびたー！	¡La habitación se ha alargado!	Комната... стала длиннее!	Der Raum... hat sich gestreckt!	La stanza...si è allungata!	Rummet...strechade!	A sala... se esticou!	¡La habitación se agrandó!	Pokój... rozciągnął się!	房間……伸長了！	Oda...gerildi!	La chambre... s'est agrandie !
nig_warp_sh	Something's come out.		なんか出てきたわよ…	Ha salido algo de ahí...	Там что-то появилось...	Etwas kam da raus.	Qualcosa è uscito.	Någonting kommer ut.	Algo apareceu.	Algo salió...	Coś wyszło.	有東西跑出來了！	Bir şey çıktı.	Quelque chose en est sorti !
nig_warp_so	Which means maybe we can go in!		ここに飛び込めってことか…	¿Me estás pidiendo que entre, entonces?	Видимо, надо запрыгнуть сюда!	Dann gehen wir rein!	Il che vuol dire che forse possiamo entrare!	Vilket betyder att vi kan gå in!	Ou seja, talvez a gente possa entrar!	¿Piensas que podríamos entrar entonces...?	To pewnie znaczy,\nże możemy teraz wejść!	那代表我們或許可以進去！	Yani belki içeri girebiliriz!	Ça veut dire qu'on peut entrer.
nig_spirit_world_sh	Where could this be?		ここは？	¿Qué es este lugar?	Что это за место?	Wo sind wir nur gelandet?	Dove è questo posto?	Vart kan det här vara?	Onde será que estamos?	¿Dónde estamos?	Gdzie to może być?	這裡是什麼地方？	Bu nerede olabilir?	C'est quoi, cet endroit ?
nig_spirit_world_so	Are we really inside the palace?		本当に城の中なのか？	¿De verdad seguimos dentro del palacio?	Мы точно внутри дворца?	Sind wir wirklich noch im Palast?	Siamo veramente dentro al palazzo?	Är vi verkligen inuti palatset?	Estamos mesmo dentro do palácio?	¿En serio esto está dentro del palacio?	Serio jesteśmy w środku pałacu?	我們真的是在宮殿裡嗎？	Gerçekten sarayın içinde miyiz?	Sommes-nous vraiment dans le palais ?
nig_gate_sh	The gate! It's fixed!		門が直ってく！	¡La puerta se está reparando!	Ворота восстановились!	Dieses Tor! Es hat sich repariert!	Il cancello! È riparato!	Grinden! Den är fixad!	O portão! Está consertado!	¡La puerta está reparada!	Brama! Jest naprawiona!	大門被修好了！	Kapı! Tamir edildi!	Le portail ! Il est réparé !
nig_gate_so	Just what is this place?		なんでもありだな…	Supongo que todo puede pasar...	В этом мире возможно всё...	Was zum Geier geht hier eigentlich ab?	Che razza di posto è questo?	Vad är det här för plats egentligen?	Que lugar é esse, afinal?	Todo es posible...	Czym jest to miejsce do licha?	這裡到底是什麼地方……	Peki burası tam olarak neresi?	Ce sont les particularités de cet endroit.
nig_end_so	So, we're finally here.		ようやくここまで来たぜ！	¡Por fin llegamos hasta aquí!	Наконец-то добрались!	Okay, endlich durchgeschafft.	Quindi, siamo finalmente arrivati.	Så, vi är äntligen här.	Então, finalmente chegamos.	¡Por fin llegamos!	Więc, w końcu dotarliśmy.	我們終於到這裡了！	İşte sonunda buradayız.	Nous y voilà enfin.
nig_end_sh	Stay confident. Let's go.		気を引き締めていきましょ！	¡Centrémonos!	Сосредоточься хорошенько!	Die Stunde der Wahrheit ist gekommen...	Abbi coraggio. Andiamo.	Behåll självförtroendet. Låt oss gå.	Continue confiante. Vamos.	¡Sigamos concentrados y hagámoslo!	Bądż pewny Siebie. Idżmy.	保持自信地繼續前進吧。	Kendine güven. Hadi gidelim.	Garde confiance. Allons-y.
nig_rampage_start_so	Okay, let's finish this!		さっさとやっちまおうか！	¡Acabemos con esto rápidamente!	Давай поскорее покончим с этим!	Okay, bringen wir es zu Ende!	Okay, finiamola!	Okej, låt oss avsluta det här!	Beleza, vamos acabar com isso!	¿Terminamos con esto?	Spoko, skończmy to!	好，讓我們搞定這件事吧！	Tamam, bitirelim şunu!	Bon, finissons-en !
nig_rampage_start_sh	Yes!		うん！	¡Sí!	Да!	Ja!	Si!	Ja!	Sim!	¡Sí!	Tak!	嗯！	Evet!	Oui !
nig_lost_so	Where are we?		どこだここは？	¿Dónde estamos?	Где же мы?..	Wo sind wir?	Dove siamo?	Vart är vi?	Onde estamos?	¿Y ahora dónde estamos?	Gdzie my jesteśmy?	這裡是哪裡？	Neredeyiz?	Où sommes-nous ?
nig_lost_sh	I'm feeling something strange.		不思議な感じがするわね	Qué sensación más extraña, ¿verdad?	Тут как-то необычно.	Ich fühle etwas seltsames.	Mi sto sentendo abbastanza strano...	Jag känner nått konstigt.	Estou sentindo algo estranho.	¿No sientes algo extraño?	Czuję coś dziwnego.	有股奇怪的感覺。	Garip bir şey hissediyorum.	Je ressens quelque chose d'étrange.
nig_deja_vu_so	What's this feeling of déjà vu?		なんか　変な感じだな…	Algo se siente raro...	У меня странное чувство...	Ich krieg hier irgendwie ein Déjà-vu.	Cos'è questa sensazione di déjà vu?	Vad är det här för känsla av déjà vu?	Acho que já vi isso antes...	Algo se siente raro...	Czemu czuję déjà vu?	怎麼有種似曾相識的感覺？	Bu deja vu hissi nedir?	C'est quoi, ce sentiment de déjà-vu ?
nig_deja_vu_sh	Sonic! This is the wall\nfrom the room we were just in!		ソニック！\nここさっきの部屋の壁だよ！	¡Sonic! ¡Es la pared de la habitación de antes!	Соник!\nЭто стена комнаты, в которой мы были!	Sonic! Das ist die Mauer von dem Raum\nin dem wir gerade waren!	Sonic! Questo è il muro\ndella stanza in cui eravamo poco fà!	Sonic! Det här är väggen\nfrån rummet vi just var i!	Sonic! Essa é a parede \nda sala em que estávamos!	¡Sonic, esa es la pared de la habitación en la que estábamos!	Sonic! To jest ściana pokoju\nw którym przed chwilą byliśmy!	索尼克！這面牆是\n剛才那個房間裡的！	Sonic! Bu az önce içinde\nbulunduğumuz odanın duvarı!	Sonic ! C'est le mur du pièce\noù on était tout à l'heure !
nig_spinning_room_sh	Is the room spinning?		部屋が回転した？	¿La habitación acaba de rotar?	Комната перевернулась?	Dreht sich der Raum etwa?	La stanza sta girando?	Snurrar rummet?	A sala está girando?	¿Gira la habitación?	Czyżby pokój się obracał?	房間在旋轉嗎？	Oda mı dönüyor?	La pièce tourne-t-elle sur elle-même ?
nig_spinning_room_so	Looks like it!		みたいだな！	¡Eso parece!	Похоже на то!	Sieht ganz so aus!	Sembra proprio così!	Ser ut som det.	Parece que sim!	¡Así parece!	Na to wygląda!	看樣子是呢！	Öyle görünüyor!	On dirait bien !
														
nig_boss_intro_so	I've been waiting to finish things\nwith you for a long time!		いい加減　決着をつけようと思ってたところだぜ。	¡Llevo mucho tiempo queriendo ponerle fin a tus fechorías!	О, а я как раз думал о том, что нам\nс тобой уже пора разобраться!	Ich hab mich schon drauf gefreut mit dir abzurechnen!	Ho aspettato tanto per finire le cose con te!	Jag har väntat länge på att\nfå avsluta saker med dig!	Já faz um bom tempo que eu tô querendo acabar com você!	¡Ya es momento de ponerle fin a todo esto!	Od dawna chciałem\nzakończyć z tobą sprawy!	我想跟你做個了結\n已經想很久了！	Uzun zamandır seninle işleri bitirmeyi bekliyordum!	Ça fait longtemps que\nje veux en finir avec toi !
nig_boss_intro_er	You filthy rat!\nI'll shut that mouth of yours permanently!		来るがいい！ドブネズミ！\n貴様の減らず口は聞き焼きさ！	¡Rata asquerosa! Me aseguraré de cerrarte el pico para siempre.	Эй, ты, крыса, я уже устал\nслушать твою болтовню!	Du dreckige Ratte! Ich stopf dir schon\nnoch dein vorlautes Mundwerk!	Ratto schifoso!\nTi chiuderò quella bocca per sempre.	Din smutsiga råtta!\nJag ska stänga din mun för alltid!	Seu rato imundo! Vou calar essa sua boca para sempre.	¡Sucia rata!\n¡Hora de cerrarte el hocico para siempre!	Ty paskudny szczurze!\nNa stałe zamknę ci tą gębę.	你這隻骯髒老鼠！\n讓我把那張嘴永遠閉上！	Pis fare! O ağzını sonsuza dek kapatacağım.	Sale vermine ! Je vais te faire taire\nà tout jamais.
nig_boss_grunt_er	Hmmph!		フンッ！	¡¡Hum!!	Ха!	Hmmpf!	Hmmph!	Hmmph	Hum!	¡Juh!	Hmmf!	哼嗯！	Hmmph!	Hmmph !
nig_boss_warn_er	Take this!		くらうがよい…！	¡Trágate esta!	Вот тебе!	Nimm das!	Prendi questo!	Ta det här!	Tome isso!	¡Trágate esto!	A masz!	接招！	Al bunu!	Prends ça !
nig_boss_warn_sh	Watch the way that Erazor\nswings his sword!		イレイザーの剣の動きをよく見るのよ！	¡Fíjate bien en cómo\nblande su espada!	Следи за движением меча Эрейзора!	Beobachte, wie Erazor sein Schwert schwingt!	Guarda la direzione in cui l'Erazor\ncolpirà con la sua spada!	Se hur Erazor\n svingar sitt svärd!	Observe como o Erazor balança a sua espada!	¡Presta atención a cómo mueve Erazor su espada!	Patrz w jaki sposób Erazor\nmacha mieczem!	注意伊萊薩的揮刀方式！	Erazor'un kılıcını nasıl salladığına dikkat et!	Observe la façon dont\nErazor manie son épée !
nig_boss_duel_er	Come, Sonic! And face me!		来い！　ソニック！　勝負だ！	¡Acércate, Sonic! ¡Enfréntate a mí!	Иди сюда, Соник! Сразимся!	Los doch, Sonic! Komm nur her!	Vieni, Sonic! E affrontami!	Kom, Sonic! Och möt mig!	Venha, Sonic! E me enfrente!	¡Vamos, Sonic! ¡Enfréntame!	Chodż, Sonic! Zmierz się ze mną!	來吧，索尼克！\n跟我一決勝負吧！	Gel, Sonic! Ve benimle yüzleş!	Viens, Sonic ! Et affronte moi !
